Latitude,Longitude,Station,Name,Latitude,Elevation(m),Network,station_id
36.9233,-109.09,28468,TEEC NOS POS,36.9233,1612,COOP,8725
32.1264,-110.7247,28998,VAIL 7 N,32.1264,908,COOP,8767
35.1706,-111.5067,29156,WALNUT CANYO,35.1706,2038,COOP,8776
32.2611,-109.8497,29334,WILLCOX,32.2611,1279,COOP,8788
35.9289,-91.0583,30064,ALICIA 2 NNE,35.9289,77,COOP,8824
33.6192,-94.0997,30286,ASHDOWN 4 SS,33.6192,98,COOP,8838
35.76,-91.6389,30460,BATESVILLE L,35.76,88,COOP,8847
34.4619,-93.9983,30664,BIG FORK 1 S,34.4619,366,COOP,8864
36.1067,-91.1039,30746,BLACK ROCK,36.1067,73,COOP,8867
34.5697,-93.1947,30764,BLAKELY MOUN,34.5697,130,COOP,8868
36.1092,-92.1636,31132,CALICO ROCK,36.1092,107,COOP,8892
33.3047,-92.485,31140,CALION LOCK,33.3047,30,COOP,8894
33.59,-92.8236,31152,CAMDEN 1,33.59,35,COOP,8895
35.5328,-93.4036,31457,CLARKSVILLE,35.5328,259,COOP,8916
35.0842,-92.4289,31596,CONWAY,35.0842,96,COOP,8923
36.4197,-90.5858,31632,CORNING,36.4197,85,COOP,8924
35.2342,-93.1675,31838,DARDANELLE,35.2342,113,COOP,8938
34.2531,-93.1486,31910,DEGRAY LAKE,34.2531,149,COOP,8943
33.8228,-92.4322,32540,FORDYCE,33.8228,70,COOP,8979
35.9914,-92.7147,32794,GILBERT,35.9914,189,COOP,8996
35.8486,-90.6881,33734,JONESBORO 2,35.8486,96,COOP,9053
36.0086,-93.5206,33909,KINGSTON 2S,36.0086,654,COOP,9060
36.4211,-92.9094,34106,LEAD HILL,36.4211,226,COOP,9070
33.3614,-93.5678,34185,LEWISVILLE,33.3614,104,COOP,9073
34.3817,-92.8283,34562,MALVERN,34.3817,95,COOP,9091
36.4947,-91.535,34572,MAMMOTH SPRI,36.4947,153,COOP,9092
35.9156,-92.6394,34666,MARSHALL,35.9156,309,COOP,9097
34.5731,-94.2494,34756,MENA,34.5731,344,COOP,9104
33.3014,-92.3658,34936,MORO BAY STA,33.3014,27,COOP,9110
35.1581,-92.7672,34938,MORRILTON,35.1581,104,COOP,9111
36.3458,-92.3939,35036,MOUNTAIN HOM,36.3458,244,COOP,9118
35.9147,-92.1042,35046,MOUNTAIN VIE,35.9147,238,COOP,9120
33.9303,-93.8514,35112,NASHVILLE,33.9303,122,COOP,9126
35.6042,-91.2744,35186,NEWPORT,35.6042,69,COOP,9132
36.4886,-93.1339,35428,OMAHA 4 NE,36.4886,419,COOP,9141
35.5125,-93.8683,35512,OZARK 2,35.5125,253,COOP,9148
35.6431,-93.4436,35514,OZONE,35.6431,579,COOP,9149
36.0336,-90.4978,35563,PARAGOULD 1,36.0336,82,COOP,9151
34.2256,-92.0189,35754,PINE BLUFF,34.2256,66,COOP,9168
36.3561,-91.8036,36403,SALEM,36.3561,207,COOP,9204
35.3028,-93.6369,36928,SUBIACO,35.3028,152,COOP,9223
34.8992,-94.1942,37488,WALDRON,34.8992,206,COOP,9239
35.855,-94.0203,37963,WINSLOW 7NE,35.855,667,COOP,9257
35.2,-118.8333,40332,ARVIN,35.2,137,COOP,9314
35.4186,-119.0508,40444,BAKERSFIELD,35.4186,143,COOP,9339
34.8928,-117.0219,40521,BARSTOW,34.8928,677,COOP,9347
34.2442,-116.9039,40741,BIG BEAR LAK,34.2442,2060,COOP,9381
34.2942,-118.1872,40798,BIG TUJUNGA,34.2942,706,COOP,9391
39.3886,-120.0936,40931,BOCA,39.3886,1699,COOP,9415
33.2314,-116.4144,40983,BORREGO DESE,33.2314,245,COOP,9421
34.1867,-118.3481,41194,BURBANK VALL,34.1867,200,COOP,9468
34.5825,-119.9808,41253,CACHUMA LAKE,34.5825,238,COOP,9479
32.6233,-116.4728,41424,CAMPO,32.6233,802,COOP,9501
41.5336,-120.1736,41614,CEDARVILLE,41.5336,1423,COOP,9536
33.6617,-115.7206,41738,CHIRIACO SUM,33.6617,520,COOP,9558
38.8067,-123.0172,41838,CLOVERDALE,38.8067,101,COOP,9583
34.005,-118.4128,42214,CULVER CITY,34.005,17,COOP,9661
38.535,-121.7761,42294,DAVIS 2 WSW,38.535,18,COOP,9675
36.4622,-116.8669,42319,DEATH VALLEY,36.4622,-54,COOP,9680
41.1833,-122.2736,42574,DUNSMUIR TRE,41.1833,661,COOP,9721
32.7669,-115.5617,42713,EL CENTRO 2,32.7669,-9,COOP,9739
36.3642,-120.1561,43083,FIVE POINTS,36.3642,87,COOP,9789
37.5422,-122.0158,43244,FREMONT,37.5422,12,COOP,9820
36.7525,-119.7017,43256,FRESNO 5 NE,36.7525,100,COOP,9824
35.7269,-118.7006,43463,GLENNVILLE,35.7269,957,COOP,9863
39.2042,-121.0681,43573,GRASS VALLEY,39.2042,732,COOP,9881
37.8444,-120.2258,43669,GROVELAND 2,37.8444,853,COOP,9896
36.3219,-119.6356,43747,HANFORD 1 S,36.3219,75,COOP,9911
33.7044,-115.6289,43855,HAYFIELD PUM,33.7044,418,COOP,9922
35.6842,-121.1683,43882,HEARST CASTL,35.6842,465,COOP,9930
33.2372,-116.7614,43914,HENSHAW DAM,33.2372,823,COOP,9935
33.72,-117.7231,44303,IRVINE RANCH,33.72,165,COOP,10002
37.9569,-122.5439,44500,KENTFIELD,37.9569,44,COOP,10027
36.0042,-119.96,44534,KETTLEMAN CI,36.0042,73,COOP,10035
36.2069,-121.1378,44555,KING CITY,36.2069,98,COOP,10039
38.4919,-122.0039,44712,LAKE SOLANO,38.4919,58,COOP,10082
36.3817,-119.0264,44890,LEMON COVE,36.3817,156,COOP,10111
34.6539,-120.4514,45064,LOMPOC,34.6539,59,COOP,10140
35.3836,-118.4122,45100,LORAINE 5 NN,35.3836,1291,COOP,10154
37.0533,-120.8697,45118,LOS BANOS,37.0533,37,COOP,10160
38.4939,-122.1261,45360,MARKLEY COVE,38.4939,146,COOP,10205
37.2858,-120.5117,45532,MERCED,37.2858,47,COOP,10229
36.5903,-121.91,45795,MONTEREY,36.5903,117,COOP,10267
34.0864,-116.5622,45860,MORONGO VALL,34.0864,959,COOP,10284
35.3669,-120.8447,45866,MORRO BAY FI,35.3669,35,COOP,10286
37.3436,-121.6425,45933,MOUNT HAMILT,37.3436,1282,COOP,10300
38.2775,-122.2642,46074,NAPA STATE H,38.2775,11,COOP,10329
39.2467,-121.0008,46136,NEVADA CITY,39.2467,848,COOP,10338
38.0047,-120.4864,46174,NEW MELONES,38.0047,293,COOP,10353
33.6025,-117.8803,46175,NEWPORT BEAC,33.6025,3,COOP,10354
33.2097,-117.395,46377,OCEANSIDE MA,33.2097,3,COOP,10387
34.4478,-119.2275,46399,OJAI,34.4478,227,COOP,10396
39.7458,-122.1997,46506,ORLAND,39.7458,77,COOP,10414
34.2114,-119.1386,46572,OXNARD WSFO,34.2114,19,COOP,10427
34.1483,-118.1447,46719,PASADENA,34.1483,263,COOP,10463
35.6278,-120.6856,46730,PASO ROBLES,35.6278,213,COOP,10465
34.5025,-117.8953,46773,PEARBLOSSOM,34.5025,930,COOP,10474
34.4061,-118.7558,46940,PIRU 2 ESE,34.4061,223,COOP,10500
39.8053,-120.4719,47085,PORTOLA,39.8053,1478,COOP,10532
39.3625,-123.1281,47109,POTTER VALLE,39.3625,309,COOP,10543
39.9367,-120.9475,47195,QUINCY,39.9367,1042,COOP,10551
33.0217,-117.0814,47248,RANCHO BERNA,33.0217,210,COOP,10561
37.4767,-122.2386,47339,REDWOOD CITY,37.4767,9,COOP,10585
34.5858,-120.4069,47681,SALSIPUEDES,34.5858,76,COOP,10636
38.1667,-120.6667,47702,SAN ANDREAS,38.1667,253,COOP,10642
34.1553,-117.9078,47776,SAN GABRIEL,34.1553,227,COOP,10671
37.3497,-121.9033,47821,SAN JOSE,37.3497,20,COOP,10679
37.9983,-122.5372,47880,SAN RAFAEL C,37.9983,37,COOP,10697
34.4167,-119.6844,47902,SANTA BARBAR,34.4167,2,COOP,10703
34.5894,-118.4547,48014,SAUGUS POWER,34.5894,642,COOP,10736
39.5861,-122.5342,48587,STONY GORGE,39.5861,244,COOP,10846
39.1678,-120.1428,48758,TAHOE CITY,39.1678,1899,COOP,10870
35.1011,-118.4222,48829,TEHACHAPI 4,35.1011,1286,COOP,10879
37.7967,-121.5828,49001,TRACY PUMPIN,37.7967,19,COOP,10909
35.7636,-117.3908,49035,TRONA,35.7636,517,COOP,10914
34.1281,-116.0369,49099,TWENTYNINE P,34.1281,602,COOP,10933
34.9881,-120.3211,49111,TWITCHELL DA,34.9881,177,COOP,10936
34.0697,-118.4428,49152,U C L A,34.0697,131,COOP,10947
36.3283,-119.2992,49367,VISALIA,36.3283,91,COOP,10978
35.5975,-119.3531,49452,WASCO,35.5975,92,COOP,10995
38.5228,-121.9683,49742,WINTERS,38.5228,41,COOP,11047
34.1819,-118.5744,49785,WOODLAND HLS,34.1819,241,COOP,11059
41.7036,-122.6408,49866,YREKA,41.7036,800,COOP,11073
37.3169,-104.9503,50105,AGUILAR 18 W,37.3169,2635,COOP,11082
37.4417,-105.8614,50128,ALAMOSA 2S,37.4417,2296,COOP,11087
39.5008,-108.3794,50214,ALTENBERN,39.5008,1731,COOP,11093
38.9933,-105.8919,50263,ANTERO RESER,38.9933,2719,COOP,11099
40.635,-104.3283,50945,BRIGGSDALE,40.635,1473,COOP,11155
40.6158,-105.2969,51060,BUCKHORN MTN,40.6158,2256,COOP,11160
38.8247,-106.1275,51071,BUENA VISTA,38.8247,2422,COOP,11161
39.2378,-102.2781,51121,BURLINGTON 4,39.2378,1265,COOP,11165
39.6553,-105.7089,51186,CABIN CREEK,39.6553,3054,COOP,11170
37.0158,-102.555,51268,CAMPO 7 S,37.0158,1255,COOP,11174
38.46,-105.2256,51294,CANON CITY,38.46,1636,COOP,11176
39.2203,-105.2783,51528,CHEESMAN,39.2203,2097,COOP,11188
39.1014,-108.7339,51772,COLORADO NAT,39.1014,1762,COOP,11206
37.9867,-105.6867,51964,CRESTONE 1 S,37.9867,2473,COOP,11231
37.6742,-106.3247,52184,DEL NORTE 2,37.6742,2437,COOP,11247
39.6261,-106.0353,52281,DILLON 1 E,39.6261,2763,COOP,11260
40.3767,-105.4858,52759,ESTES PARK,40.3767,2280,COOP,11299
39.9425,-105.8172,53116,FRASER,39.9425,2609,COOP,11332
39.1636,-108.7556,53146,FRUITA 1 W,39.1636,1366,COOP,11336
39.7156,-105.6967,53261,GEORGETOWN,39.7156,2597,COOP,11342
38.9539,-109.0528,53307,GLADE PARK 1,38.9539,1946,COOP,11343
39.4606,-105.6794,53530,GRANT,39.4606,2644,COOP,11368
40.4022,-104.6992,53553,GREELEY UNC,40.4022,1437,COOP,11375
39.9364,-105.3503,53629,GROSS RESERV,39.9364,2429,COOP,11381
40.4928,-107.2547,53867,HAYDEN,40.4928,1963,COOP,11397
40.5839,-102.3006,54082,HOLYOKE,40.5839,1137,COOP,11407
37.0856,-107.5333,54254,IGNACIO 8 E,37.0856,2018,COOP,11417
38.7411,-103.5428,54444,KARVAL,38.7411,1547,COOP,11427
37.115,-103.2986,54546,KIM 10SSE,37.115,1615,COOP,11434
38.9058,-105.4733,54742,LAKE GEORGE,38.9058,2597,COOP,11459
39.7489,-105.1206,54762,LAKEWOOD,39.7489,1719,COOP,11461
38.0936,-102.6306,54770,LAMAR,38.0936,1106,COOP,11462
40.5031,-102.99,54945,LEROY 5 WSW,40.5031,1362,COOP,11475
40.1589,-105.0736,55116,LONGMONT 2 E,40.1589,1509,COOP,11488
37.1742,-105.9392,55322,MANASSA,37.1742,2344,COOP,11494
37.5811,-106.1872,55706,MONTE VISTA,37.5811,2345,COOP,11520
37.8139,-109.0108,55970,NORTHDALE,37.8139,2036,COOP,11543
39.8989,-105.0133,55984,NORTHGLENN,39.8989,1648,COOP,11546
38.2214,-103.7244,56131,ORDWAY 2 ENE,38.2214,1315,COOP,11555
39.1136,-108.3506,56266,PALISADE,39.1136,1466,COOP,11566
39.8297,-105.2353,56816,RALSTON RESE,39.8297,1798,COOP,11609
38.8417,-104.9742,57309,RUXTON PARK,38.8417,2758,COOP,11644
40.8656,-102.5161,57515,SEDGWICK 5 S,40.8656,1216,COOP,11668
39.4344,-105.1208,58022,STRONTIA SPR,39.4344,1780,COOP,11702
38.3422,-104.0567,58157,TACONY 13 SE,38.3422,1488,COOP,11710
37.1503,-104.5567,58436,TRINIDAD LAK,37.1503,1923,COOP,11721
39.9489,-102.2458,58613,VERNON 4E,39.9489,1189,COOP,11736
40.9656,-105.2186,58690,VIRGINIA DAL,40.9656,2138,COOP,11739
40.7442,-106.2792,58756,WALDEN,40.7442,2455,COOP,11742
37.6256,-104.7739,58781,WALSENBURG,37.6256,1875,COOP,11743
37.3822,-102.2986,58793,WALSH 1 W,37.3822,1212,COOP,11744
40.4256,-105.2103,58839,WATERDALE,40.4256,1594,COOP,11745
37.4297,-106.0317,58860,WAVERLY 1W,37.4297,2317,COOP,11747
38.1311,-105.4661,58931,WESTCLIFFE,38.1311,2396,COOP,11751
39.7636,-105.0731,58995,WHEAT RIDGE,39.7636,1666,COOP,11759
40.0375,-106.2039,59096,WILLIAMS FOR,40.0375,2332,COOP,11766
39.8903,-105.7617,59175,WINTER PARK,39.8903,2775,COOP,11769
40.075,-103.5678,59213,WOODROW 6 NN,40.075,1333,COOP,11773
40.1239,-102.7208,59295,YUMA,40.1239,1262,COOP,11782
41.7683,-72.055,63420,HAMPTON,41.7683,189,COOP,11822
41.9725,-73.2208,65445,NORFOLK 2 SW,41.9725,408,COOP,11855
41.5269,-72.0642,65910,NORWICH PUB,41.5269,6,COOP,11866
42.9975,-72.2739,67958,STAFFORDVILL,42.9975,229,COOP,11892
29.7258,-85.0206,80211,APALACHICOLA,29.7258,6,COOP,11976
24.6589,-81.2761,80414,BAHIA HONDA,24.6589,1,COOP,11982
26.3283,-80.9958,80737,BIG CYPRESS,26.3283,5,COOP,11993
25.6719,-80.1567,81306,CAPE FLORIDA,25.6719,2,COOP,12021
30.7836,-85.4847,81544,CHIPLEY,30.7836,40,COOP,12031
28.4553,-81.7233,81641,CLERMONT 9 S,28.4553,40,COOP,12038
29.1894,-81.0139,82150,DAYTONA BEAC,29.1894,3,COOP,12063
26.6033,-81.1292,82298,DEVILS GARDE,26.6033,6,COOP,12069
24.6279,-82.8736,82418,DRY TORTUGAS,24.6279,3,COOP,12071
26.1019,-80.2011,83163,FORT LAUDERD,26.1019,5,COOP,12088
26.1408,-80.1064,83168,FORT LAUDERD,26.1408,1,COOP,12091
27.4622,-80.3539,83207,FORT PIERCE,27.4622,8,COOP,12098
29.7517,-81.4669,83874,HASTINGS 4NE,29.7517,3,COOP,12119
25.8175,-80.2858,83909,HIALEAH,25.8175,4,COOP,12120
26.0283,-80.1342,84050,HOLLYWOOD,26.0283,3,COOP,12125
25.5011,-80.55,84095,HOMESTEAD GE,25.5011,3,COOP,12128
30.29,-81.3922,84366,JACKSONVILLE,30.29,3,COOP,12141
28.2803,-81.4183,84625,KISSIMMEE 2,28.2803,18,COOP,12156
27.9914,-82.0136,84802,LAKELAND 2,27.9914,42,COOP,12167
28.8728,-81.7864,85076,LISBON,28.8728,21,COOP,12174
25.9492,-81.7139,85359,MARCO ISLAND,25.9492,3,COOP,12187
28.0958,-80.6308,85612,MELBOURNE WF,28.0958,11,COOP,12195
26.8567,-81.55,86048,MUSE,26.8567,2,COOP,12222
26.1686,-81.7158,86078,NAPLES,26.1686,2,COOP,12225
27.2839,-80.2269,86092,NETTLES ISLA,27.2839,4,COOP,12226
25.95,-80.2158,86315,NORTH MIAMI,25.95,3,COOP,12232
25.5819,-80.4361,87020,PERRINE 4W,25.5819,3,COOP,12277
28.7267,-81.5669,87228,PLYMOUTH 3N,28.7267,19,COOP,12287
27.0919,-80.3275,87304,PORT SALERNO,27.0919,4,COOP,12293
28.8025,-81.2686,87982,SANFORD,28.8025,4,COOP,12320
28.7881,-80.8814,88051,SCOTTSMOOR 2,28.7881,9,COOP,12324
26.47,-80.6403,88368,SOUTH BAY 15,26.47,6,COOP,12334
27.2,-80.1639,88620,STUART 4 E,27.2,4,COOP,12344
30.3961,-84.3556,88756,TALLAHASSEE,30.3961,17,COOP,12353
28.15,-82.75,88824,TARPON SPRIN,28.15,2,COOP,12362
28.6297,-80.8328,88942,TITUSVILLE,28.6297,2,COOP,12365
27.1006,-82.4364,89176,VENICE,27.1006,2,COOP,12373
30.7219,-84.8742,89795,WOODRUFF DAM,30.7219,33,COOP,12392
34.3417,-84.8389,90044,ADAIRSVILLE,34.3417,291,COOP,12397
34.4417,-83.5161,90236,ALTO 4 SE,34.4417,280,COOP,12411
32.0503,-84.2753,90253,AMERICUS 3 S,32.0503,149,COOP,12412
32.375,-81.6731,91266,BROOKLET 1 W,32.375,55,COOP,12462
33.5972,-85.0806,91640,CARROLLTON,33.5972,303,COOP,12481
34.0589,-85.2339,91732,CEDARTOWN,34.0589,239,COOP,12487
34.5883,-83.7683,92006,CLEVELAND,34.5883,478,COOP,12503
31.8536,-83.9592,92361,CRISP CO POW,31.8536,75,COOP,12521
33.9881,-84.7475,92485,DALLAS 7 NE,33.9881,335,COOP,12529
33.9358,-84.2958,92753,DORAVILLE 2,33.9358,314,COOP,12547
34.1406,-82.8586,93060,ELBERTON 2 N,34.1406,165,COOP,12561
34.3006,-83.86,93621,GAINESVILLE,34.3006,357,COOP,12589
31.9336,-81.9275,93754,GLENNVILLE,31.9336,52,COOP,12593
34.3519,-82.93,94133,HARTWELL,34.3519,210,COOP,12608
32.2803,-83.4706,94170,HAWKINSVILLE,32.2803,83,COOP,12610
33.32,-83.8436,94623,JACKSON DAM,33.32,179,COOP,12628
33.5311,-84.3544,94700,JONESBORO,33.5311,283,COOP,12637
33.8,-82.4667,95204,LINCOLNTON,33.8,146,COOP,12655
33.4522,-84.0678,95666,MCDONOUGH,33.4522,245,COOP,12683
31.2739,-81.9197,96219,NAHUNTA 6 NE,31.2739,21,COOP,12713
31.6953,-82.9239,97171,PRIDGEN,31.6953,91,COOP,12745
32.6328,-81.7756,97528,ROCKY FORD 4,32.6328,46,COOP,12760
34.2453,-85.1514,97600,ROME,34.2453,201,COOP,12761
32.9744,-82.8044,97777,SANDERSVILLE,32.9744,137,COOP,12767
34.5733,-83.3361,98740,TOCCOA,34.5733,308,COOP,12809
34.7117,-83.3514,98842,TUGALO DAM,34.7117,233,COOP,12816
32.6358,-83.6514,99124,WARNER ROBIN,32.6358,158,COOP,12830
42.3353,-111.385,100803,BERN,42.3353,1818,COOP,12887
44.4622,-115.5817,102392,DEADWOOD LOD,44.4622,1813,COOP,12994
45.5694,-115.4525,102577,DIXIE NORTH,45.5694,1750,COOP,13005
42.4167,-112.1,102667,DOWNEY,42.4167,1479,COOP,13011
43.7828,-113.0033,104384,HOWE,43.7828,1469,COOP,13113
42.7969,-112.227,104555,INKOM,42.7969,1406,COOP,13132
42.6214,-112.0106,105143,LAVA HOT SPR,42.6214,1401,COOP,13166
42.1231,-111.3139,105275,LIFTON PUMPI,42.1231,1806,COOP,13178
42.6767,-113.5003,105980,MINIDOKA DAM,42.6767,1269,COOP,13226
46.9564,-116.8781,107301,POTLATCH 3 N,46.9564,792,COOP,13306
43.676,-111.9124,107689,RIGBY,43.676,1480,COOP,13338
45.2,-113.8667,108076,SALMON AIRPO,45.2,1233,COOP,13365
44.2169,-114.9314,108676,STANLEY,44.2169,1911,COOP,13406
43.4447,-111.2939,108937,SWAN VALLEY,43.4447,1681,COOP,13419
44.9667,-115.4833,109950,YELLOW PINE,44.9667,1500,COOP,13461
41.1961,-90.7469,110072,ALEDO,41.1961,219,COOP,13466
41.1203,-90.1644,110140,ALTONA,41.1203,224,COOP,13470
37.4814,-89.2344,110187,ANNA 2 NNE,37.4814,195,COOP,13472
39.7103,-88.4883,110251,ARTHUR 1W,39.7103,203,COOP,13480
39.9461,-89.7594,110306,ATHENS 2SW,39.9461,180,COOP,13485
40.2378,-90.9456,110330,AUGUSTA,40.2378,207,COOP,13488
41.7806,-88.3092,110338,AURORA,41.7806,201,COOP,13489
40.7086,-90.3628,110356,AVON 5 NE,40.7086,195,COOP,13490
42.1153,-88.1639,110442,BARRINGTON 3,42.1153,267,COOP,13492
39.8564,-89.4161,111083,BUFFALO,39.8564,183,COOP,13531
40.5447,-90.0211,111250,CANTON 1 ESE,40.5447,198,COOP,13540
37.7308,-89.1658,111265,CARBONDALE S,37.7308,119,COOP,13541
38.0781,-88.1831,111302,CARMI 3,38.0781,102,COOP,13550
39.2972,-87.9747,111329,CASEY,39.2972,189,COOP,13553
37.9031,-89.8314,111491,CHESTER,37.9031,140,COOP,13566
40.0086,-88.7264,111655,CISCO,40.0086,210,COOP,13603
38.6078,-88.3111,111700,CLAY CITY 6,38.6078,140,COOP,13606
40.1403,-88.9678,111743,CLINTON 1 SS,40.1403,213,COOP,13607
40.1389,-87.6483,112140,DANVILLE,40.1389,170,COOP,13627
40.1022,-87.5964,112145,DANVILLE SEW,40.1022,161,COOP,13629
39.8275,-88.9525,112193,DECATUR,39.8275,189,COOP,13632
41.9342,-88.7756,112223,DE KALB,41.9342,266,COOP,13636
41.1067,-88.4111,112500,DWIGHT,41.1067,191,COOP,13649
41.5514,-88.9147,112510,EARLVILLE 3,41.5514,219,COOP,13651
38.81,-90.0031,112679,EDWARDSVILLE,38.81,152,COOP,13657
42.0628,-88.2861,112736,ELGIN,42.0628,233,COOP,13665
42.3214,-90.2331,112745,ELIZABETH,42.3214,206,COOP,13667
38.3797,-88.3261,112931,FAIRFIELD RA,38.3797,131,COOP,13677
40.3175,-88.3506,113061,FISHER,40.3175,221,COOP,13682
38.6786,-88.4797,113106,FLORA,38.6786,152,COOP,13683
42.2972,-89.6039,113262,FREEPORT WAS,42.2972,229,COOP,13690
41.8981,-90.1539,113290,FULTON L&D #,41.8981,180,COOP,13692
