This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"029334","WILLCOX",-109.8497,32.2611,1279,"COOP","8788"
"030064","ALICIA 2 NNE",-91.0583,35.9289,77,"COOP","8824"
"030286","ASHDOWN 4 SS",-94.0997,33.6192,98,"COOP","8838"
"030460","BATESVILLE L",-91.6389,35.7600,88,"COOP","8847"
"030664","BIG FORK 1 S",-93.9983,34.4619,366,"COOP","8864"
"030746","BLACK ROCK",-91.1039,36.1067,73,"COOP","8867"
"030764","BLAKELY MOUN",-93.1947,34.5697,130,"COOP","8868"
"031132","CALICO ROCK",-92.1636,36.1092,107,"COOP","8892"
"031140","CALION LOCK",-92.4850,33.3047,30,"COOP","8894"
"031152","CAMDEN 1",-92.8236,33.5900,35,"COOP","8895"
"031457","CLARKSVILLE",-93.4036,35.5328,259,"COOP","8916"
"031596","CONWAY",-92.4289,35.0842,96,"COOP","8923"
"031632","CORNING",-90.5858,36.4197,85,"COOP","8924"
"031838","DARDANELLE",-93.1675,35.2342,113,"COOP","8938"
"031910","DEGRAY LAKE",-93.1486,34.2531,149,"COOP","8943"
"032540","FORDYCE",-92.4322,33.8228,70,"COOP","8979"
"032794","GILBERT",-92.7147,35.9914,189,"COOP","8996"
"033734","JONESBORO 2",-90.6881,35.8486,96,"COOP","9053"
"033909","KINGSTON 2S",-93.5206,36.0086,654,"COOP","9060"
"034106","LEAD HILL",-92.9094,36.4211,226,"COOP","9070"
"034185","LEWISVILLE",-93.5678,33.3614,104,"COOP","9073"
"034562","MALVERN",-92.8283,34.3817,95,"COOP","9091"
"034572","MAMMOTH SPRI",-91.5350,36.4947,153,"COOP","9092"
"034666","MARSHALL",-92.6394,35.9156,309,"COOP","9097"
"034756","MENA",-94.2494,34.5731,344,"COOP","9104"
"034936","MORO BAY STA",-92.3658,33.3014,27,"COOP","9110"
"034938","MORRILTON",-92.7672,35.1581,104,"COOP","9111"
"035036","MOUNTAIN HOM",-92.3939,36.3458,244,"COOP","9118"
"035046","MOUNTAIN VIE",-92.1042,35.9147,238,"COOP","9120"
"035112","NASHVILLE",-93.8514,33.9303,122,"COOP","9126"
"035186","NEWPORT",-91.2744,35.6042,69,"COOP","9132"
"035428","OMAHA 4 NE",-93.1339,36.4886,419,"COOP","9141"
"035512","OZARK 2",-93.8683,35.5125,253,"COOP","9148"
"035514","OZONE",-93.4436,35.6431,579,"COOP","9149"
"035563","PARAGOULD 1",-90.4978,36.0336,82,"COOP","9151"
"035754","PINE BLUFF",-92.0189,34.2256,66,"COOP","9168"
"036403","SALEM",-91.8036,36.3561,207,"COOP","9204"
"036928","SUBIACO",-93.6369,35.3028,152,"COOP","9223"
"037488","WALDRON",-94.1942,34.8992,206,"COOP","9239"
"037963","WINSLOW 7NE",-94.0203,35.8550,667,"COOP","9257"
"040332","ARVIN",-118.8333,35.2000,137,"COOP","9314"
"040444","BAKERSFIELD",-119.0508,35.4186,143,"COOP","9339"
"040521","BARSTOW",-117.0219,34.8928,677,"COOP","9347"
"040741","BIG BEAR LAK",-116.9039,34.2442,2060,"COOP","9381"
"040798","BIG TUJUNGA",-118.1872,34.2942,706,"COOP","9391"
"040931","BOCA",-120.0936,39.3886,1699,"COOP","9415"
"040983","BORREGO DESE",-116.4144,33.2314,245,"COOP","9421"
"041194","BURBANK VALL",-118.3481,34.1867,200,"COOP","9468"
"041253","CACHUMA LAKE",-119.9808,34.5825,238,"COOP","9479"
"041424","CAMPO",-116.4728,32.6233,802,"COOP","9501"
"041614","CEDARVILLE",-120.1736,41.5336,1423,"COOP","9536"
"041738","CHIRIACO SUM",-115.7206,33.6617,520,"COOP","9558"
"041838","CLOVERDALE",-123.0172,38.8067,101,"COOP","9583"
"042214","CULVER CITY",-118.4128,34.0050,17,"COOP","9661"
"042294","DAVIS 2 WSW",-121.7761,38.5350,18,"COOP","9675"
"042319","DEATH VALLEY",-116.8669,36.4622,-54,"COOP","9680"
"042574","DUNSMUIR TRE",-122.2736,41.1833,661,"COOP","9721"
"042713","EL CENTRO 2",-115.5617,32.7669,-9,"COOP","9739"
"043083","FIVE POINTS",-120.1561,36.3642,87,"COOP","9789"
"043244","FREMONT",-122.0158,37.5422,12,"COOP","9820"
"043256","FRESNO 5 NE",-119.7017,36.7525,100,"COOP","9824"
"043463","GLENNVILLE",-118.7006,35.7269,957,"COOP","9863"
"043573","GRASS VALLEY",-121.0681,39.2042,732,"COOP","9881"
"043669","GROVELAND 2",-120.2258,37.8444,853,"COOP","9896"
"043747","HANFORD 1 S",-119.6356,36.3219,75,"COOP","9911"
"043855","HAYFIELD PUM",-115.6289,33.7044,418,"COOP","9922"
"043882","HEARST CASTL",-121.1683,35.6842,465,"COOP","9930"
"043914","HENSHAW DAM",-116.7614,33.2372,823,"COOP","9935"
"044303","IRVINE RANCH",-117.7231,33.7200,165,"COOP","10002"
"044500","KENTFIELD",-122.5439,37.9569,44,"COOP","10027"
"044534","KETTLEMAN CI",-119.9600,36.0042,73,"COOP","10035"
"044555","KING CITY",-121.1378,36.2069,98,"COOP","10039"
"044712","LAKE SOLANO",-122.0039,38.4919,58,"COOP","10082"
"044890","LEMON COVE",-119.0264,36.3817,156,"COOP","10111"
"045064","LOMPOC",-120.4514,34.6539,59,"COOP","10140"
"045100","LORAINE 5 NN",-118.4122,35.3836,1291,"COOP","10154"
"045118","LOS BANOS",-120.8697,37.0533,37,"COOP","10160"
"045360","MARKLEY COVE",-122.1261,38.4939,146,"COOP","10205"
"045532","MERCED",-120.5117,37.2858,47,"COOP","10229"
"045795","MONTEREY",-121.9100,36.5903,117,"COOP","10267"
"045860","MORONGO VALL",-116.5622,34.0864,959,"COOP","10284"
"045866","MORRO BAY FI",-120.8447,35.3669,35,"COOP","10286"
"045933","MOUNT HAMILT",-121.6425,37.3436,1282,"COOP","10300"
"046074","NAPA STATE H",-122.2642,38.2775,11,"COOP","10329"
"046136","NEVADA CITY",-121.0008,39.2467,848,"COOP","10338"
"046174","NEW MELONES",-120.4864,38.0047,293,"COOP","10353"
"046175","NEWPORT BEAC",-117.8803,33.6025,3,"COOP","10354"
"046377","OCEANSIDE MA",-117.3950,33.2097,3,"COOP","10387"
"046399","OJAI",-119.2275,34.4478,227,"COOP","10396"
"046506","ORLAND",-122.1997,39.7458,77,"COOP","10414"
"046572","OXNARD WSFO",-119.1386,34.2114,19,"COOP","10427"
"046719","PASADENA",-118.1447,34.1483,263,"COOP","10463"
"046730","PASO ROBLES",-120.6856,35.6278,213,"COOP","10465"
"046773","PEARBLOSSOM",-117.8953,34.5025,930,"COOP","10474"
"046940","PIRU 2 ESE",-118.7558,34.4061,223,"COOP","10500"
"047085","PORTOLA",-120.4719,39.8053,1478,"COOP","10532"
"047109","POTTER VALLE",-123.1281,39.3625,309,"COOP","10543"
"047195","QUINCY",-120.9475,39.9367,1042,"COOP","10551"
"047248","RANCHO BERNA",-117.0814,33.0217,210,"COOP","10561"
"047339","REDWOOD CITY",-122.2386,37.4767,9,"COOP","10585"
"047681","SALSIPUEDES",-120.4069,34.5858,76,"COOP","10636"
"047702","SAN ANDREAS",-120.6667,38.1667,253,"COOP","10642"
"047776","SAN GABRIEL",-117.9078,34.1553,227,"COOP","10671"
"047821","SAN JOSE",-121.9033,37.3497,20,"COOP","10679"
"047880","SAN RAFAEL C",-122.5372,37.9983,37,"COOP","10697"
"047902","SANTA BARBAR",-119.6844,34.4167,2,"COOP","10703"
"048014","SAUGUS POWER",-118.4547,34.5894,642,"COOP","10736"
"048587","STONY GORGE",-122.5342,39.5861,244,"COOP","10846"
"048758","TAHOE CITY",-120.1428,39.1678,1899,"COOP","10870"
"048829","TEHACHAPI 4",-118.4222,35.1011,1286,"COOP","10879"
"049001","TRACY PUMPIN",-121.5828,37.7967,19,"COOP","10909"
"049035","TRONA",-117.3908,35.7636,517,"COOP","10914"
"049099","TWENTYNINE P",-116.0369,34.1281,602,"COOP","10933"
"049111","TWITCHELL DA",-120.3211,34.9881,177,"COOP","10936"
"049152","U C L A",-118.4428,34.0697,131,"COOP","10947"
"049367","VISALIA",-119.2992,36.3283,91,"COOP","10978"
"049452","WASCO",-119.3531,35.5975,92,"COOP","10995"
"049742","WINTERS",-121.9683,38.5228,41,"COOP","11047"
"049785","WOODLAND HLS",-118.5744,34.1819,241,"COOP","11059"
"049866","YREKA",-122.6408,41.7036,800,"COOP","11073"
"050105","AGUILAR 18 W",-104.9503,37.3169,2635,"COOP","11082"
"050128","ALAMOSA 2S",-105.8614,37.4417,2296,"COOP","11087"
"050214","ALTENBERN",-108.3794,39.5008,1731,"COOP","11093"
"050263","ANTERO RESER",-105.8919,38.9933,2719,"COOP","11099"
"050945","BRIGGSDALE",-104.3283,40.6350,1473,"COOP","11155"
"051060","BUCKHORN MTN",-105.2969,40.6158,2256,"COOP","11160"
"051071","BUENA VISTA",-106.1275,38.8247,2422,"COOP","11161"
"051121","BURLINGTON 4",-102.2781,39.2378,1265,"COOP","11165"
"051186","CABIN CREEK",-105.7089,39.6553,3054,"COOP","11170"
"051268","CAMPO 7 S",-102.5550,37.0158,1255,"COOP","11174"
"051294","CANON CITY",-105.2256,38.4600,1636,"COOP","11176"
"051528","CHEESMAN",-105.2783,39.2203,2097,"COOP","11188"
"051772","COLORADO NAT",-108.7339,39.1014,1762,"COOP","11206"
"051964","CRESTONE 1 S",-105.6867,37.9867,2473,"COOP","11231"
"052184","DEL NORTE 2",-106.3247,37.6742,2437,"COOP","11247"
"052281","DILLON 1 E",-106.0353,39.6261,2763,"COOP","11260"
"052759","ESTES PARK",-105.4858,40.3767,2280,"COOP","11299"
"053116","FRASER",-105.8172,39.9425,2609,"COOP","11332"
"053146","FRUITA 1 W",-108.7556,39.1636,1366,"COOP","11336"
"053261","GEORGETOWN",-105.6967,39.7156,2597,"COOP","11342"
"053307","GLADE PARK 1",-109.0528,38.9539,1946,"COOP","11343"
"053530","GRANT",-105.6794,39.4606,2644,"COOP","11368"
"053553","GREELEY UNC",-104.6992,40.4022,1437,"COOP","11375"
"053629","GROSS RESERV",-105.3503,39.9364,2429,"COOP","11381"
"053867","HAYDEN",-107.2547,40.4928,1963,"COOP","11397"
"054082","HOLYOKE",-102.3006,40.5839,1137,"COOP","11407"
"054254","IGNACIO 8 E",-107.5333,37.0856,2018,"COOP","11417"
"054444","KARVAL",-103.5428,38.7411,1547,"COOP","11427"
"054546","KIM 10SSE",-103.2986,37.1150,1615,"COOP","11434"
"054742","LAKE GEORGE",-105.4733,38.9058,2597,"COOP","11459"
"054762","LAKEWOOD",-105.1206,39.7489,1719,"COOP","11461"
"054770","LAMAR",-102.6306,38.0936,1106,"COOP","11462"
"054945","LEROY 5 WSW",-102.9900,40.5031,1362,"COOP","11475"
"055116","LONGMONT 2 E",-105.0736,40.1589,1509,"COOP","11488"
"055322","MANASSA",-105.9392,37.1742,2344,"COOP","11494"
"055706","MONTE VISTA",-106.1872,37.5811,2345,"COOP","11520"
"055970","NORTHDALE",-109.0108,37.8139,2036,"COOP","11543"
"055984","NORTHGLENN",-105.0133,39.8989,1648,"COOP","11546"
"056131","ORDWAY 2 ENE",-103.7244,38.2214,1315,"COOP","11555"
"056266","PALISADE",-108.3506,39.1136,1466,"COOP","11566"
"056816","RALSTON RESE",-105.2353,39.8297,1798,"COOP","11609"
"057309","RUXTON PARK",-104.9742,38.8417,2758,"COOP","11644"
"057515","SEDGWICK 5 S",-102.5161,40.8656,1216,"COOP","11668"
"058022","STRONTIA SPR",-105.1208,39.4344,1780,"COOP","11702"
"058157","TACONY 13 SE",-104.0567,38.3422,1488,"COOP","11710"
"058436","TRINIDAD LAK",-104.5567,37.1503,1923,"COOP","11721"
"058613","VERNON 4E",-102.2458,39.9489,1189,"COOP","11736"
"058690","VIRGINIA DAL",-105.2186,40.9656,2138,"COOP","11739"
"058756","WALDEN",-106.2792,40.7442,2455,"COOP","11742"
"058781","WALSENBURG",-104.7739,37.6256,1875,"COOP","11743"
"058793","WALSH 1 W",-102.2986,37.3822,1212,"COOP","11744"
"058839","WATERDALE",-105.2103,40.4256,1594,"COOP","11745"
"058860","WAVERLY 1W",-106.0317,37.4297,2317,"COOP","11747"
"058931","WESTCLIFFE",-105.4661,38.1311,2396,"COOP","11751"
"058995","WHEAT RIDGE",-105.0731,39.7636,1666,"COOP","11759"
"059096","WILLIAMS FOR",-106.2039,40.0375,2332,"COOP","11766"
"059175","WINTER PARK",-105.7617,39.8903,2775,"COOP","11769"
"059213","WOODROW 6 NN",-103.5678,40.0750,1333,"COOP","11773"
"059295","YUMA",-102.7208,40.1239,1262,"COOP","11782"
"063420","HAMPTON",-72.0550,41.7683,189,"COOP","11822"
"065445","NORFOLK 2 SW",-73.2208,41.9725,408,"COOP","11855"
"065910","NORWICH PUB",-72.0642,41.5269,6,"COOP","11866"
"067958","STAFFORDVILL",-72.2739,42.9975,229,"COOP","11892"
"080211","APALACHICOLA",-85.0206,29.7258,6,"COOP","11976"
"080414","BAHIA HONDA",-81.2761,24.6589,1,"COOP","11982"
"080737","BIG CYPRESS",-80.9958,26.3283,5,"COOP","11993"
"081306","CAPE FLORIDA",-80.1567,25.6719,2,"COOP","12021"
"081544","CHIPLEY",-85.4847,30.7836,40,"COOP","12031"
"081641","CLERMONT 9 S",-81.7233,28.4553,40,"COOP","12038"
"082150","DAYTONA BEAC",-81.0139,29.1894,3,"COOP","12063"
"082298","DEVILS GARDE",-81.1292,26.6033,6,"COOP","12069"
"082418","DRY TORTUGAS",-82.8736,24.6279,3,"COOP","12071"
"083163","FORT LAUDERD",-80.2011,26.1019,5,"COOP","12088"
"083168","FORT LAUDERD",-80.1064,26.1408,1,"COOP","12091"
"083207","FORT PIERCE",-80.3539,27.4622,8,"COOP","12098"
"083874","HASTINGS 4NE",-81.4669,29.7517,3,"COOP","12119"
"083909","HIALEAH",-80.2858,25.8175,4,"COOP","12120"
"084050","HOLLYWOOD",-80.1342,26.0283,3,"COOP","12125"
"084095","HOMESTEAD GE",-80.5500,25.5011,3,"COOP","12128"
"084366","JACKSONVILLE",-81.3922,30.2900,3,"COOP","12141"
"084625","KISSIMMEE 2",-81.4183,28.2803,18,"COOP","12156"
"084802","LAKELAND 2",-82.0136,27.9914,42,"COOP","12167"
"085076","LISBON",-81.7864,28.8728,21,"COOP","12174"
"085359","MARCO ISLAND",-81.7139,25.9492,3,"COOP","12187"
"085612","MELBOURNE WF",-80.6308,28.0958,11,"COOP","12195"
"086048","MUSE",-81.5500,26.8567,2,"COOP","12222"
"086078","NAPLES",-81.7158,26.1686,2,"COOP","12225"
"086092","NETTLES ISLA",-80.2269,27.2839,4,"COOP","12226"
"086315","NORTH MIAMI",-80.2158,25.9500,3,"COOP","12232"
"087020","PERRINE 4W",-80.4361,25.5819,3,"COOP","12277"
"087228","PLYMOUTH 3N",-81.5669,28.7267,19,"COOP","12287"
"087304","PORT SALERNO",-80.3275,27.0919,4,"COOP","12293"
"087982","SANFORD",-81.2686,28.8025,4,"COOP","12320"
"088051","SCOTTSMOOR 2",-80.8814,28.7881,9,"COOP","12324"
"088368","SOUTH BAY 15",-80.6403,26.4700,6,"COOP","12334"
"088620","STUART 4 E",-80.1639,27.2000,4,"COOP","12344"
"088756","TALLAHASSEE",-84.3556,30.3961,17,"COOP","12353"
"088824","TARPON SPRIN",-82.7500,28.1500,2,"COOP","12362"
"088942","TITUSVILLE",-80.8328,28.6297,2,"COOP","12365"
"089176","VENICE",-82.4364,27.1006,2,"COOP","12373"
"089795","WOODRUFF DAM",-84.8742,30.7219,33,"COOP","12392"
"090044","ADAIRSVILLE",-84.8389,34.3417,291,"COOP","12397"
"090236","ALTO 4 SE",-83.5161,34.4417,280,"COOP","12411"
"090253","AMERICUS 3 S",-84.2753,32.0503,149,"COOP","12412"
"091266","BROOKLET 1 W",-81.6731,32.3750,55,"COOP","12462"
"091640","CARROLLTON",-85.0806,33.5972,303,"COOP","12481"
"091732","CEDARTOWN",-85.2339,34.0589,239,"COOP","12487"
"092006","CLEVELAND",-83.7683,34.5883,478,"COOP","12503"
"092361","CRISP CO POW",-83.9592,31.8536,75,"COOP","12521"
"092485","DALLAS 7 NE",-84.7475,33.9881,335,"COOP","12529"
"092753","DORAVILLE 2",-84.2958,33.9358,314,"COOP","12547"
"093060","ELBERTON 2 N",-82.8586,34.1406,165,"COOP","12561"
"093621","GAINESVILLE",-83.8600,34.3006,357,"COOP","12589"
"093754","GLENNVILLE",-81.9275,31.9336,52,"COOP","12593"
"094133","HARTWELL",-82.9300,34.3519,210,"COOP","12608"
"094170","HAWKINSVILLE",-83.4706,32.2803,83,"COOP","12610"
"094623","JACKSON DAM",-83.8436,33.3200,179,"COOP","12628"
"094700","JONESBORO",-84.3544,33.5311,283,"COOP","12637"
"095204","LINCOLNTON",-82.4667,33.8000,146,"COOP","12655"
"095666","MCDONOUGH",-84.0678,33.4522,245,"COOP","12683"
"096219","NAHUNTA 6 NE",-81.9197,31.2739,21,"COOP","12713"
"097171","PRIDGEN",-82.9239,31.6953,91,"COOP","12745"
"097528","ROCKY FORD 4",-81.7756,32.6328,46,"COOP","12760"
"097600","ROME",-85.1514,34.2453,201,"COOP","12761"
"097777","SANDERSVILLE",-82.8044,32.9744,137,"COOP","12767"
"098740","TOCCOA",-83.3361,34.5733,308,"COOP","12809"
"098842","TUGALO DAM",-83.3514,34.7117,233,"COOP","12816"
"099124","WARNER ROBIN",-83.6514,32.6358,158,"COOP","12830"
"100803","BERN",-111.3850,42.3353,1818,"COOP","12887"
"102392","DEADWOOD LOD",-115.5817,44.4622,1813,"COOP","12994"
"102577","DIXIE NORTH",-115.4525,45.5694,1750,"COOP","13005"
"102667","DOWNEY",-112.1000,42.4167,1479,"COOP","13011"
"104384","HOWE",-113.0033,43.7828,1469,"COOP","13113"
"104555","INKOM",-112.2270,42.7969,1406,"COOP","13132"
"105143","LAVA HOT SPR",-112.0106,42.6214,1401,"COOP","13166"
"105275","LIFTON PUMPI",-111.3139,42.1231,1806,"COOP","13178"
"105980","MINIDOKA DAM",-113.5003,42.6767,1269,"COOP","13226"
"107301","POTLATCH 3 N",-116.8781,46.9564,792,"COOP","13306"
"107689","RIGBY",-111.9124,43.6760,1480,"COOP","13338"
"108076","SALMON AIRPO",-113.8667,45.2000,1233,"COOP","13365"
"108676","STANLEY",-114.9314,44.2169,1911,"COOP","13406"
"108937","SWAN VALLEY",-111.2939,43.4447,1681,"COOP","13419"
"109950","YELLOW PINE",-115.4833,44.9667,1500,"COOP","13461"
"110072","ALEDO",-90.7469,41.1961,219,"COOP","13466"
"110140","ALTONA",-90.1644,41.1203,224,"COOP","13470"
"110187","ANNA 2 NNE",-89.2344,37.4814,195,"COOP","13472"
"110251","ARTHUR 1W",-88.4883,39.7103,203,"COOP","13480"
"110306","ATHENS 2SW",-89.7594,39.9461,180,"COOP","13485"
"110330","AUGUSTA",-90.9456,40.2378,207,"COOP","13488"
"110338","AURORA",-88.3092,41.7806,201,"COOP","13489"
"110356","AVON 5 NE",-90.3628,40.7086,195,"COOP","13490"
"110442","BARRINGTON 3",-88.1639,42.1153,267,"COOP","13492"
"111083","BUFFALO",-89.4161,39.8564,183,"COOP","13531"
"111250","CANTON 1 ESE",-90.0211,40.5447,198,"COOP","13540"
"111265","CARBONDALE S",-89.1658,37.7308,119,"COOP","13541"
"111302","CARMI 3",-88.1831,38.0781,102,"COOP","13550"
"111329","CASEY",-87.9747,39.2972,189,"COOP","13553"
"111491","CHESTER",-89.8314,37.9031,140,"COOP","13566"
"111655","CISCO",-88.7264,40.0086,210,"COOP","13603"
"111700","CLAY CITY 6",-88.3111,38.6078,140,"COOP","13606"
"111743","CLINTON 1 SS",-88.9678,40.1403,213,"COOP","13607"
"112140","DANVILLE",-87.6483,40.1389,170,"COOP","13627"
"112145","DANVILLE SEW",-87.5964,40.1022,161,"COOP","13629"
"112193","DECATUR",-88.9525,39.8275,189,"COOP","13632"
"112223","DE KALB",-88.7756,41.9342,266,"COOP","13636"
"112500","DWIGHT",-88.4111,41.1067,191,"COOP","13649"
"112510","EARLVILLE 3",-88.9147,41.5514,219,"COOP","13651"
"112679","EDWARDSVILLE",-90.0031,38.8100,152,"COOP","13657"
"112736","ELGIN",-88.2861,42.0628,233,"COOP","13665"
"112745","ELIZABETH",-90.2331,42.3214,206,"COOP","13667"
"112931","FAIRFIELD RA",-88.3261,38.3797,131,"COOP","13677"
"113061","FISHER",-88.3506,40.3175,221,"COOP","13682"
"113106","FLORA",-88.4797,38.6786,152,"COOP","13683"
"113262","FREEPORT WAS",-89.6039,42.2972,229,"COOP","13690"
"113290","FULTON L&D #",-90.1539,41.8981,180,"COOP","13692"
"113320","GALESBURG",-90.3856,40.9464,235,"COOP","13695"
"113384","GENESEO",-90.1486,41.4511,195,"COOP","13700"
"113392","GENOA 2 SW",-88.7075,42.0744,259,"COOP","13702"
"113455","GLADSTONE DA",-91.0242,40.8825,158,"COOP","13705"
"113490","GLEN ELLYN 4",-88.0581,41.8267,209,"COOP","13707"
"114089","HIGHLAND",-89.6556,38.7583,160,"COOP","13743"
"114317","HUTSONVILLE",-87.6578,39.1333,139,"COOP","13752"
"114355","ILLINOIS CIT",-91.0094,41.4253,168,"COOP","13753"
"114400","IUKA 12 SW",-88.9703,38.4931,174,"COOP","13757"
"114442","JACKSONVILLE",-90.2153,39.7353,186,"COOP","13758"
"114447","JACKSONVILLE",-90.2289,39.7136,183,"COOP","13759"
"114489","JERSEYVILLE",-90.3419,39.1053,192,"COOP","13761"
"114530","JOLIET BRAND",-88.1028,41.5033,166,"COOP","13762"
"114629","KASKASKIA RI",-89.9492,37.9842,116,"COOP","13769"
"114710","KEWANEE 1 E",-89.8992,41.2483,238,"COOP","13772"
"114780","KNOXVILLE",-90.2892,40.9033,229,"COOP","13783"
"114823","LA HARPE",-90.9697,40.5822,213,"COOP","13788"
"114833","LAKE SPRINGF",-89.6044,39.7578,169,"COOP","13789"
